id,idade,sexo,estado_civil,escola,Qte_dependentes,tempo_ultimoservico,trabalha,vl_salario_mil,reg_moradia,casa_propria,vl_imovel_em_mil,Qte_cartoes,Qte_carros,SCORE_CREDITO
10127.0,10127.0,10127,10127,10127,10127.0,10127.0,10127.0,10127,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0
,,2,4,5,,,,9236,,,,,,
,,F,casado,ensino medio,,,,0,,,,,,
,,5358,4687,3352,,,,892,,,,,,
739177606.3336625,46.32596030413745,,,,1.547447417794016,34.133208255159474,0.911918633356374,,3.7834501826799642,0.35242421250123435,208.99911128665943,1.0836377999407525,0.6233830354497877,469.50036387873996
36903783.45023115,8.016814032549028,,,,1.4890790644478118,8.221427650443346,0.28342718968030856,,1.5804861984858654,0.4777488096291021,378.49522936515683,0.3337844904435406,0.5697959981248659,133.814652616858
708082083.0,26.0,,,,0.0,7.0,0.0,,1.0,0.0,0.0,1.0,0.0,162.0
713036770.5,41.0,,,,0.0,30.0,1.0,,3.0,0.0,0.0,1.0,0.0,375.0
717926358.0,46.0,,,,1.0,34.0,1.0,,4.0,0.0,0.0,1.0,1.0,449.6
773143533.0,52.0,,,,3.0,39.0,1.0,,5.0,1.0,289.0,1.0,1.0,540.9
828343083.0,73.0,,,,5.0,57.0,1.0,,6.0,1.0,1800.0,4.0,2.0,979.65
